CHARTER NO,NAME,CITY,STATE,CERT,RSSD
12072,First National Bank Alaska,Anchorage,AK,16130,114260
10697,First National Bank and Trust,Atmore,AL,2779,670430
16708,Town-Country National Bank,Camden,AL,22621,180537
9681,The First National Bank of Dozier,Dozier,AL,2794,496434
16579,First National Bank,Hamilton,AL,22271,330239
7592,The First National Bank of Hartford,Hartford,AL,2804,112332
16553,Commonwealth National Bank,Mobile,AL,22229,578237
10406,First National Bank of North Arkansas,Berryville,AR,3854,864846
21165,The First National Bank of Izard County,Calico Rock,AR,11252,379649
13637,First National Bank of Eastern Arkansas,Forrest City,AR,3863,251745
1950,The First National Bank of Fort Smith,Fort Smith,AR,3864,397540
23202,The Malvern National Bank,Malvern,AR,14644,906241
10004,First National Bank,Paragould,AR,3887,42448
14209,The First National Bank at Paris,Paris,AR,14534,45047
15482,"Relyance Bank, National Association",Pine Bluff,AR,19371,49241
24573,Legacy National Bank,Springdale,AR,57953,3306280
11312,The First National Bank of Lawrence County at Walnut Ridge,Walnut Ridge,AR,3896,799948
24224,BNC National Bank,Glendale,AZ,57197,2358769
24683,West Valley National Bank,Goodyear,AZ,58426,3480069
24671,"Goldwater Bank, National Association",Phoenix,AZ,58405,3592047
24049,"Canyon Community Bank, National Association",Tucson,AZ,35547,2919423
16840,"New Omni Bank, National Association",Alhambra,CA,23086,300063
24716,"American Plus Bank, National Association",Arcadia,CA,58469,3623110
24493,EH National Bank,Beverly Hills,CA,57734,3320576
24626,Northern California National Bank,Chico,CA,58224,3435948
23950,"Chino Commercial Bank, National Association",Chino,CA,35366,2925620
18242,"C3bank, National Association",Encinitas,CA,25249,754068
21699,"Community West Bank, National Association",Goleta,CA,27572,1412712
23925,California First National Bank,Irvine,CA,35331,2907439
14695,City National Bank,Los Angeles,CA,17281,63069
18608,Deutsche Bank National Trust Company,Los Angeles,CA,26732,670560
18607,"State Street Bank and Trust Company of California, National Association",Los Angeles,CA,26474,812164
24526,"The Bank of New York Mellon Trust Company, National Association",Los Angeles,CA,23472,398668
25079,"CIT Bank, National Association",Pasadena,CA,58978,3918898
20862,"Golden Pacific Bank, National Association",Sacramento,CA,26881,962966
24100,"Bank of Southern California, National Association",San Diego,CA,57044,3076453
22770,Neighborhood National Bank,San Diego,CA,34548,2333140
24077,"Bank of America California, National Association",San Francisco,CA,25178,1443266
18358,"Beacon Business Bank, National Association",San Francisco,CA,25644,403067
23869,"Bessemer Trust Company of California, National Association",San Francisco,CA,35413,2845782
22121,"Blackrock Institutional Trust Company, National Association",San Francisco,CA,32961,1444021
17176,Mission National Bank,San Francisco,CA,23749,519360
21541,"MUFG Union Bank, National Association",San Francisco ,CA,22826,212465
23006,Asian Pacific National Bank,San Gabriel,CA,33013,1462986
25080,"Banc of California, National Association",Santa Ana,CA,35498,200378
24577,"California International Bank, A National Banking Association",Westminster,CA,57974,3394380
17548,"Bank of Whittier, National Association",Whittier,CA,24211,209362
24182,AMG National Trust Bank,Boulder,CO,57295,3015939
15058,Pikes Peak National Bank,Colorado Springs,CO,17782,643658
14833,"First National Bank, Cortez",Cortez,CO,17872,968155
21158,"Native American Bank, National Association",Denver,CO,27026,664653
4742,"Sunflower Bank, National Association",Denver,CO,4767,474759
8004,"Transact Bank, National Association",Denver,CO,13986,403254
17000,Evergreen National Bank,Evergreen,CO,23404,427858
11571,The First National Bank of Fleming,Fleming,CO,3018,306056
8489,The First National Bank of Hugo,Hugo,CO,3029,276551
24737,Solera National Bank,Lakewood,CO,58534,3397233
6030,First National Bank of Las Animas,Las Animas,CO,3034,513256
6671,First Colorado National Bank,Paonia,CO,3047,587752
14222,The First National Bank in Trinidad,Trinidad,CO,14584,474058
8752,First Pioneer National Bank,Wray,CO,3063,357553
25103,"People's United Bank, National Association ",Bridgeport,CT,27334,613307
1214,The National Iron Bank,Salisbury,CT,2496,1008209
22545,"Patriot Bank, National Association",Stamford,CT,33928,2236821
24469,"Webster Bank, National Association",Waterbury,CT,18221,761806
23664,"Connecticut Community Bank, National Association",Westport,CT,34876,2756909
22968,"City First Bank of D.C., National Association",Washington,DC,34352,2697963
4107,The National Capital Bank of Washington,Washington,DC,2093,791821
18410,"Citicorp Trust Delaware, National Association",Greenville,DE,25677,449038
24955,"Stifel Trust Company Delaware, National Association",Wilmingtion,DE,59043,4125778
25173,"ADP Trust Company, National Association",Wilmington,DE,59194,5397639
24547,"Bessemer Trust Company of Delaware, National Association",Wilmington,DE,58011,3310287
24944,"Brown Brothers Harriman Trust Company of Delaware, National Association",Wilmington,DE,59025,4032791
24907,"Evercore Trust Company, National Association",Wilmington,DE,58927,3939240
24601,"HSBC Trust Company (Delaware), National Association",Wilmington,DE,58188,3357620
25051,Key National Trust Company of Delaware,Wilmington,DE,59069,4368351
24966,Neuberger Berman Trust Company of Delaware National Association,Wilmington,DE,59047,4146830
1316,"PNC Bank, National Association",Wilmington,DE,6384,817824
25022,"Santander Bank, National Association",Wilmington,DE,29950,722777
22611,"TD Bank USA, National Association",Wilmington,DE,33947,2121196
24096,"TD Bank, National Association",Wilmington,DE,18409,497404
24173,"The Goldman Sachs Trust Company, National Association",Wilmington,DE,57337,3066025
24090,U.S. Bank Trust National Association,Wilmington,DE,57047,2916963
23201,"Wells Fargo Delaware Trust Company, National Association",Wilmington,DE,34465,2531991
22859,"Wilmington Trust, National Association",Wilmington,DE,34069,2265456
16804,"Amerant Bank, National Association",Coral Gables,FL,22953,83638
24470,"Amerant Trust, National Association",Coral Gables,FL,57852,3266825
20976,First National Bank of Pasco,Dade City,FL,26829,82033
23329,Edison National Bank,Fort Myers,FL,34489,2594419
24719,Finemark National Bank & Trust,Fort Myers,FL,58486,3547131
23852,"Desjardins Bank, National Association",Hallandale,FL,33565,1940747
23523,"Natbank, National Association",Hollywood,FL,33959,2233875
20214,"Florida Capital Bank, National Association",Jacksonville,FL,26323,188430
25139,"Axiom Bank, National Association",Maitland,FL,31390,408875
15977,City National Bank of Florida,Miami,FL,20234,814430
15748,Eastern National Bank,Miami,FL,20026,171133
15974,Executive National Bank,Miami,FL,20711,1002430
18283,"Intercredit Bank, National Association",Miami,FL,25258,44433
20010,Pacific National Bank,Miami,FL,26299,577137
20157,Terrabank National Association,Miami,FL,26442,238737
25028,"BankUnited, National Association",Miami Lakes,FL,58979,3938186
13102,The First National Bank of Mount Dora,Mount Dora,FL,3579,61832
18613,American National Bank,Oakland Park,FL,26398,481430
18214,First National Bank Northwest Florida,Panama City,FL,25122,216230
24936,Canandaigua National Trust Company of Florida,Sarasota,FL,58999,3952904
23773,Heartland National Bank,Sebring,FL,35052,2800491
15000,The First National Bank of South Miami,South Miami,FL,17093,794336
24914,"Raymond James Bank, National Association",St. Petersburg,FL,33893,2193616
24771,"Raymond James Trust, National Association",St. Petersburg,FL,33879,2163477
14838,Seacoast National Bank,Stuart,FL,131,34537
23363,"TCM Bank, National Association",Tampa,FL,34535,2687487
14882,First National Bank of Wauchula,Wauchula,FL,18136,89135
22311,"South State Bank, National Association",Winter Haven,FL,33555,1929247
24359,Commerce National Bank & Trust,Winter Park,FL,57429,3148613
25142,Winter Park National Bank,Winter Park,FL,59105,5143788
24789,Touchmark National Bank,Alpharetta,GA,58687,3645840
24425,"Atlantic Capital Bank, National Association",Atlanta,GA,35525,3555695
3656,"Cadence Bank, National Association",Atlanta,GA,4999,4262534
24106,CIBC National Trust Company,Atlanta,GA,91325,975751
23416,"RBC Bank (Georgia), National Association",Atlanta,GA,26342,3783948
11833,"SouthCrest Bank, National Association",Atlanta,GA,2124,165039
24458,First National Bank of Decatur County,Bainbridge,GA,57694,3232370
24456,"American Commerce Bank, National Association",Bremen,GA,57686,3272956
23981,United National Bank,Cairo,GA,35427,2914727
23547,North Georgia National Bank,Calhoun,GA,34662,2769954
16487,First National Community Bank,Chatsworth,GA,22092,450632
24350,"Synovus Trust Company, National Association",Columbus,GA,33962,2262718
24249,Douglas National Bank,Douglas,GA,57230,3049635
22327,First National Bank of Coffee County,Douglas,GA,33506,1892154
24169,"First Century Bank, National Association",Gainesville,GA,57123,2997748
15572,First National Bank of Griffin,Griffin,GA,169,563233
24679,Embassy National Bank,Lawrenceville,GA,58413,3482045
6207,Queensborough National Bank & Trust Company,Louisville,GA,2138,960935
14255,The Citizens National Bank of Quitman,Quitman,GA,14731,774235
15651,Southeast First National Bank,Summerville,GA,19819,563934
22905,Quantum National Bank,Suwanee,GA,34110,2354387
22883,Thomasville National Bank,Thomasville,GA,34068,2344753
7899,The First National Bank of Waynesboro,Waynesboro,GA,2160,31134
14911,Hawaii National Bank,Honolulu,HI,18296,915065
10408,"First National Bank, Ames, Iowa",Ames,IA,1545,820048
994,The Clinton National Bank,Clinton,IA,4439,773443
10354,"Midstates Bank, National Association",Council Bluffs,IA,4465,728948
12636,The First National Bank in Creston,Creston,IA,4444,214843
24369,"American Bank and Trust Company, National Association",Davenport,IA,34955,2733263
24120,"First Community Trust, National Association",Dubuque,IA,57179,2973041
13991,First National Bank in Fairfield,Fairfield,IA,13853,616148
22286,"American Bank, National Association",Lemars,IA,5800,345345
3455,The First National Bank of Manning,Manning,IA,4477,818540
24346,United Bank & Trust National Association,Marshalltown,IA,57391,3103591
15579,First National Bank of Muscatine,Muscatine,IA,961,893248
4155,The First National Bank of Primghar,Primghar,IA,4494,343248
24378,Liberty National Bank,Sioux City,IA,57505,3140822
3124,"The Security National Bank of Sioux City, Iowa",Sioux City,IA,4506,418249
10034,The Citizens First National Bank of Storm Lake,Storm Lake,IA,4511,424240
3105,First National Bank,Waverly,IA,4519,376442
14435,Citizens National Bank of Albion,Albion,IL,15760,853747
8293,The First National Bank of Allendale,Allendale,IL,12365,990642
14244,The First National Bank in Amboy,Amboy,IL,14674,656032
5525,Anna-Jonesboro National Bank,Anna,IL,3759,855844
25200,"State Bank of the Lakes, National Association",Antioch,IL,5744,595430
9183,The First National Bank of Arenzville,Arenzville,IL,3599,593333
25202,"Village Bank & Trust, National Association",Arlington Heights,IL,34011,2298995
5316,The First National Bank of Assumption,Assumption,IL,3600,604033
3711,The Atlanta National Bank,Atlanta,IL,3601,672238
4596,Old Second National Bank,Aurora,IL,3603,936136
10911,The First National Bank of Ava,Ava,IL,3761,858443
23216,"Barrington Bank & Trust Company, National Association",Barrington,IL,34395,2508751
3640,First National Bank of Beardstown,Beardstown,IL,3607,368933
14993,First National Bank of Brookfield,Brookfield,IL,18564,465038
10397,The First National Bank of Brownstown,Brownstown,IL,3770,207041
13838,Midamerica National Bank,Canton,IL,3612,510938
14347,"CNB Bank & Trust, National Association",Carlinville,IL,3775,613343
14268,The First National Bank in Carlyle,Carlyle,IL,14761,614948
4934,The First National Bank of Carmi,Carmi,IL,3777,209148
16643,"BankChampaign, National Association",Champaign,IL,22434,436739
14479,Buena Vista National Bank,Chester,IL,10844,621441
23158,Chester National Bank,Chester,IL,30220,231279
14688,Albany Bank and Trust Company National Association,Chicago,IL,17230,2732
24466,"Beverly Bank & Trust Company, National Association",Chicago,IL,57701,3216017
14583,BMO Harris Bank National Association,Chicago,IL,16571,75633
24430,"South Central Bank, National Association",Chicago,IL,19536,18135
25196,"Wintrust Bank, National Association",Chicago,IL,33935,2239288
1926,First National Bank & Trust Company,Clinton,IL,3639,32234
23574,"Crystal Lake Bank & Trust Company, National Association",Crystal Lake,IL,34681,2624400
18763,Home State Bank / National Association,Crystal Lake,IL,12815,696430
5815,"Resource Bank, National Association",Dekalb,IL,3701,235530
7236,Union National Bank,Elgin,IL,3661,963730
6609,The Fairfield National Bank,Fairfield,IL,3792,640246
14757,The Fisher National Bank,Fisher,IL,17513,739832
14566,Forest Park National Bank and Trust Company,Forest Park,IL,15945,926632
6684,Grand Ridge National Bank,Grand Ridge,IL,3674,875132
14035,The Granville National Bank,Granville,IL,13983,560830
9734,The Bradford National Bank of Greenville,Greenville,IL,3799,720746
14466,Farmers National Bank of Griggsville,Griggsville,IL,15928,166849
2242,The Havana National Bank,Havana,IL,3677,940731
14510,"Bank of Hillsboro, National Association",Hillsboro,IL,16276,659341
25212,"Hinsdale Bank & Trust Company, National Association",Hinsdale,IL,33849,2119773
14418,Peoples National Bank of Kewanee,Kewanee,IL,926,823133
2503,Hometown National Bank,LA Salle,IL,3691,770639
347,The First National Bank of Lacon,Lacon,IL,3688,824738
25149,"Lake Forest Bank & Trust Company, National Association",Lake Forest,IL,27589,1917301
23690,"The Chicago Trust Company, National Association",Lake Forest,IL,35063,2719810
11715,The Lemont National Bank,Lemont,IL,3693,480330
25197,"Libertyville Bank & Trust Company, National Association",Libertyville,IL,34073,2339795
3962,The First National Bank of Litchfield,Litchfield,IL,3807,370347
10079,The Litchfield National Bank,Litchfield,IL,3808,372444
14492,Mason City National Bank,Mason City,IL,16198,108746
10045,"First Mid Bank & Trust, National Association",Mattoon,IL,3705,762447
7379,The First National Bank,Mattoon,IL,3817,388940
9408,"Peoples National Bank, N.A.",Mcleansboro,IL,3809,375043
8745,The City National Bank of Metropolis,Metropolis,IL,3814,298245
24646,"Old Plank Trail Community Bank, National Association",Mokena,IL,58314,3404207
15389,Community National Bank in Monmouth,Monmouth,IL,19230,775241
8221,The Farmers and Merchants National Bank of Nashville,Nashville,IL,3821,513546
14436,First National Bank of Nokomis,Nokomis,IL,15763,330248
24617,"CenTrust Bank, National Association",Northbrook,IL,58158,3377235
25199,"Northbrook Bank & Trust Company, National Association",Northbrook,IL,57082,2938198
11754,The First National Bank of Okawville,Okawville,IL,3826,333940
11780,The Old Exchange National Bank of Okawville,Okawville,IL,3827,411240
14217,First National Bank in Olney,Olney,IL,14567,412845
25140,"BankFinancial, National Association",Olympia Fields,IL,28808,454676
1154,The First National Bank of Ottawa,Ottawa,IL,3719,856243
24114,Cornerstone National Bank & Trust Company,Palatine,IL,57061,2929392
13478,First National Bank of Pana,Pana,IL,3720,860147
13975,First National Bank in Pinckneyville,Pinckneyville,IL,13813,340443
6375,Farmers National Bank,Prophetstown,IL,3732,933041
14564,"First Bankers Trust Company, National Association",Quincy,IL,16501,344647
6910,The First National Bank of Raymond,Raymond,IL,3830,421445
23393,"First Robinson Savings Bank, National Association",Robinson,IL,28105,660271
24536,BMO Harris Central National Association,Roselle,IL,58216,3353154
25211,"St. Charles Bank & Trust Company, National Association",Saint Charles,IL,27052,428547
9786,The First National Bank of Sandoval,Sandoval,IL,3834,122546
24150,"Schaumburg Bank & Trust Company, National Association",Schaumburg,IL,57103,2970657
7015,The First National Bank of Sparta,Sparta,IL,3837,246947
11443,"INB, National Association",Springfield,IL,3664,925037
14617,National Bank of St. Anne,St. Anne,IL,16752,760340
14437,First National Bank of Steeleville,Steeleville,IL,1049,129349
14369,Stillman Banccorp National Association,Stillman Valley,IL,9263,407645
14769,First National Bank in Taylorville,Taylorville,IL,17572,177443
13682,"First Neighbor Bank, National Association",Toledo,IL,3747,413646
13579,The First National Bank in Tremont,Tremont,IL,3749,353546
10180,The First National Bank of Waterloo,Waterloo,IL,3842,145545
25203,"Wheaton Bank & Trust Company, National Association",Wheaton,IL,33803,2044811
23918,"Wheaton College Trust Company, National Association",Wheaton,IL,57150,2960788
13650,Security National Bank,Witt,IL,3845,151546
5267,The Riddell National Bank,Brazil,IN,4318,319047
5629,"FCN Bank, National Association",Brookville,IN,4319,321947
10465,First National Bank,Cloverdale,IN,4324,60648
8846,Old National Bank,Evansville,IN,3832,208244
22652,The National Bank of Indianapolis,Indianapolis,IN,33860,2132941
23421,"New Covenant Trust Company, National Association",Jeffersonville,IN,34732,2641827
9784,The First National Bank of Monterey,Monterey,IN,4364,44040
47,"First Financial Bank, National Association",Terre Haute,IN,4382,693345
5842,The Home National Bank of Thorntown,Thorntown,IN,14225,696645
6101,First National Bank of Kansas,Burlington,KS,4794,614256
21389,Community National Bank & Trust,Chanute,KS,27046,923752
13329,First National Bank in Cimarron,Cimarron,KS,4638,677354
9773,The First National Bank of Dighton,Dighton,KS,4654,636753
11916,First National Bank in Frankfort,Frankfort,KS,4668,923350
14370,First National Bank in Fredonia,Fredonia,KS,13798,844455
8796,"Armed Forces Bank, National Association",Ft. Leavenworth,KS,4666,983457
13347,"GNBank, National Association",Girard,KS,4673,928056
10789,The Citizens National Bank,Greenleaf,KS,4678,991555
11822,The First National Bank of Harveyville,Harveyville,KS,4683,931458
12384,The First National Bank of Hope,Hope,KS,4690,870856
3180,The First National Bank of Hutchinson,Hutchinson,KS,4697,754853
4284,Central National Bank,Junction City,KS,4702,234355
22241,The University National Bank of Lawrence,Lawrence,KS,32606,1229198
11798,The First National Bank of Louisburg,Louisburg,KS,4722,132451
24080,Community First National Bank,Manhattan,KS,35585,2907019
23038,Landmark National Bank,Manhattan,KS,5826,481177
7911,The Marion National Bank,Marion,KS,4728,167752
11933,Farmers National Bank,Phillipsburg,KS,4611,137559
3601,First National Bank and Trust,Phillipsburg,KS,4756,183958
8808,The First National Bank of Scott City,Scott City,KS,4769,414652
3855,The First National Bank of Sedan,Sedan,KS,4770,195157
18394,Community National Bank,Seneca,KS,25665,354552
10161,The First National Bank of Spearville,Spearville,KS,4774,197254
8114,The First National Bank of Syracuse,Syracuse,KS,4779,543459
25188,"Fidelity Bank, National Association",Wichita,KS,30895,762474
2782,"Intrust Bank, National Association",Wichita,KS,4799,557858
12346,Southwest National Bank,Wichita,KS,4801,499855
8830,The First National Bank of Brooksville,Brooksville,KY,2682,798512
2592,First National Bank of Kentucky,Carrollton,KY,2735,907444
2409,The Farmers National Bank of Danville,Danville,KY,2740,785147
12982,The First National Bank of Grayson,Grayson,KY,2695,610913
13479,The Lincoln National Bank of Hodgenville,Hodgenville,KY,2750,553944
1493,First Southern National Bank,Lancaster,KY,2700,702612
3988,The Citizens National Bank of Lebanon,Lebanon,KY,2753,641449
4271,The Farmers National Bank of Lebanon,Lebanon,KY,2754,575348
24349,"Forcht Bank, National Association",Lexington,KY,57415,3141726
24047,"Unified Trust Company, National Association",Lexington,KY,35534,2924128
10254,Cumberland Valley National Bank & Trust Company,London,KY,2691,647218
7605,The First National Bank of Manchester,Manchester,KY,2708,719610
11348,The First National Bank of Russell Springs,Russell Springs,KY,2767,173641
8905,The Salyersville National Bank,Salyersville,KY,2723,472018
6769,"First & Farmers National Bank, Inc.",Somerset,KY,2738,721949
11544,The Citizens National Bank of Somerset,Somerset,KY,2725,410917
14328,First National Bank,Arcadia,LA,15059,109659
18278,First National Bankers Bank,Baton Rouge,LA,25247,734538
25185,"Investar Bank, National Association",Baton Rouge,LA,58316,3449066
18162,First National Bank of Benton,Benton,LA,25065,47452
20184,"Citizens National Bank, National Association",Bossier City,LA,26381,594853
16473,First National Bank USA,Boutte,LA,22046,714839
12523,First National Bank of Louisiana,Crowley,LA,4288,575834
14168,First National Bank in DeRidder,DeRidder,LA,14427,480433
7768,The First National Bank of Jeanerette,Jeanerette,LA,4290,622037
25106,"Home Bank, National Association",Lafayette,LA,28094,929978
17735,Progressive National Bank,Mansfield,LA,24443,675855
24131,"Leader Bank, National Association",Arlington,MA,57134,3109146
17202,"Wellington Trust Company, National Association",Boston,MA,23741,692704
23148,"Computershare Trust Company, National Association",Canton,MA,34629,2600039
676,The National Grand Bank of Marblehead,Marblehead,MA,2608,863607
13835,Millbury National Bank,Millbury,MA,2616,881900
21882,"First Financial Trust, National Association",Wakefield,MA,27479,1369870
23850,"Capital Bank, National Association",Rockville,MD,35278,2808602
2311,The Camden National Bank,Camden,ME,4255,593007
446,First National Bank,Damariscotta,ME,4256,439404
21527,"Comerica Bank & Trust, National Association",Ann Arbor,MI,1596,772446
13522,Citizens National Bank of Cheboygan,Cheboygan,MI,5018,773742
14740,First National Bank of America,East Lansing,MI,17438,413141
9087,Superior National Bank & Trust Company,Hancock,MI,5058,245557
14062,County National Bank,Hillsdale,MI,14073,682143
14144,First National Bank in Howell,Howell,MI,14370,755047
3806,The First National Bank & Trust Co. of Iron Mountain,Iron Mountain,MI,5062,251558
24637,First National Bank of Michigan,Kalamazoo,MI,58259,3404467
17525,Capitol National Bank,Lansing,MI,24199,285544
3717,"Range Bank, National Association",Marquette,MI,5072,355559
6863,"Northern Interstate Bank, National Association",Norway,MI,13784,289056
16857,Huron National Bank,Rogers City,MI,23126,753641
3886,The First National Bank of St. Ignace,St. Ignace,MI,5074,381950
11305,The First National Bank of Wakefield,Wakefield,MI,5076,292850
25210,"Viking Bank, National Association",Alexandria,MN,32082,484776
6813,First National Bank,Bagley,MN,5087,392255
24219,American National Bank of Minnesota,Baxter,MN,26499,306159
5582,The First National Bank of Bemidji,Bemidji,MN,5093,363657
6352,Western National Bank,Cass Lake,MN,5110,278751
7647,First National Bank,Chisholm,MN,5113,371755
12395,The First National Bank of Cokato,Cokato,MN,5115,280558
8322,The First National Bank of Coleraine,Coleraine,MN,5117,311658
24372,"Northwestern Bank, National Association",Dilworth,MN,9746,207555
13116,Western National Bank,Duluth,MN,5131,127055
6991,The Miners National Bank of Eveleth,Eveleth,MN,5141,43856
9771,The First National Bank of Fairfax,Fairfax,MN,5142,938354
22351,First Farmers & Merchants National Bank,Fairmont,MN,33131,1470150
24373,Falcon National Bank,Foley,MN,57603,3184228
9262,The First National Bank of Gilbert,Gilbert,MN,5150,975452
23926,Woodlands National Bank,Hinckley,MN,1417,980951
23457,Stearns Bank Holdingford National Association,Holdingford,MN,10160,1011656
13972,Minnstar Bank National Association,Lake Crystal,MN,13809,89854
6921,The First National Bank of Le Center,Le Center,MN,5180,986551
20448,Center National Bank,Litchfield,MN,10976,1017957
15037,American Heritage National Bank,Long Prairie,MN,8843,61757
13544,First Farmers & Merchants National Bank,Luverne,MN,5186,917854
6488,The First National Bank of McIntosh,McIntosh,MN,5196,988256
9050,The First National Bank of Milaca,Milaca,MN,5198,924357
12947,The First National Bank of Moose Lake,Moose Lake,MN,5214,706058
15161,Neighborhood National Bank,Mora,MN,18885,705556
11622,The First National Bank of Buhl,Mt. Iron,MN,5105,108652
6837,The First National Bank of Osakis,Osakis,MN,5221,726458
6906,The First National Bank of Henning,Ottertail,MN,5162,23456
13692,The Citizens National Bank of Park Rapids,Park Rapids,MN,5223,877752
24356,"F&M Community Bank, National Association",Preston,MN,10967,171759
11125,The First National Bank of Proctor,Proctor,MN,5232,731957
6417,Minnesota National Bank,Sauk Centre,MN,5249,799751
15401,"Heritage Bank, National Association",Spicer,MN,19254,901358
15576,Stearns Bank National Association,St. Cloud,MN,10988,141556
14296,The First National Bank at St. James,St. James,MN,14853,794653
15198,St. Martin National Bank,St. Martin,MN,18937,856159
23290,"Bremer Bank, National Association",St. Paul,MN,12923,800657
24310,"Securian Trust Company, National Association",St. Paul,MN,57405,3089752
14991,"Sunrise Banks, National Association",St. Paul,MN,18561,860053
1794,First National Bank Minnesota,St. Peter,MN,5247,197759
23458,Stearns Bank Upsala National Association,Upsala,MN,9336,208459
8476,First National Bank North,Walker,MN,5269,805755
6544,The First National Bank of Waseca,Waseca,MN,5270,837354
14488,"Merchants Bank, National Association",Winona,MN,8866,779351
10865,"WNB Financial, National Association",Winona,MN,5280,220059
16976,"Bank of Brookfield-Purdin, National Association",Brookfield,MO,9385,236256
17694,First Community National Bank,Cuba,MO,1639,619859
6635,HNB National Bank,Hannibal,MO,4540,908553
15592,"Academy Bank, National Association",Kansas City,MO,19600,535753
24290,"Country Club Trust Company, National Association",Kansas City,MO,57402,3058114
25145,National Advisors Trust Company,Kansas City,MO,57160,2809373
23920,"UMB Bank, National Association",Kansas City,MO,8273,936855
12955,Citizens National Bank of Greater St. Louis,Maplewood,MO,4549,870650
3959,"The First National Bank of Nevada, Missouri",Nevada,MO,4598,827355
24627,"Stifel Trust Company, National Association",St Louis,MO,33785,2713920
22874,"UMB Bank & Trust, National Association",St. Louis,MO,34065,2337335
24092,"The Tipton Latham Bank, National Association",Tipton,MO,1941,984856
15284,First National Bank of Clarksdale,Clarksdale,MS,19070,11640
22949,"The First, A National Banking Association",Hattiesburg,MS,34217,2385514
15386,First American National Bank,Iuka,MS,19226,786340
10523,Trustmark National Bank,Jackson,MS,4988,342634
20493,Pike National Bank,Mccomb,MS,26379,880332
7266,The Citizens National Bank of Meridian,Meridian,MS,4993,69333
14592,First National Bank of Picayune,Picayune,MS,16612,568939
10844,"Bank of Bridger, National Association",Bridger,MT,2224,17950
13044,"Bank of America, National Association",Charlotte,NC,3510,480228
23323,Cedar Hill National Bank,Charlotte,NC,34478,2651899
8029,First National Bank and Trust Co. of Bottineau,Bottineau,ND,3902,974558
5886,Ramsey National Bank,Devils Lake,ND,3914,987352
13790,"Alerus Financial, National Association",Grand Forks,ND,3931,933256
24604,"Dakota Community Bank & Trust, National Association",Hebron,ND,15728,815156
14637,First National Bank of Chadron,Chadron,NE,16859,239752
